,TwitchName,TrackerLink,Error
0,tarik,https://tracker.gg/valorant/profile/riot/SEN%20tarik%231337/matches?playlist=competitive,None
1,DisguisedToast,https://tracker.gg/valorant/profile/riot/Toast%237792/matches?playlist=competitive,None
2,TenZ,https://tracker.gg/valorant/profile/riot/SEN%20TenZ%230505/matches?playlist=competitive,None
3,Kyedae,https://tracker.gg/valorant/profile/riot/Kyedae%23Tnz/matches?playlist=competitive,None
4,sinatraa,https://tracker.gg/valorant/profile/riot/SEN%20sinatraa%23idc/matches?playlist=competitive,None
5,Hiko,https://tracker.gg/valorant/profile/riot/100T%20Hiko%23000/matches?playlist=competitive,None
6,ShahZam,https://tracker.gg/valorant/profile/riot/G2%20ShahZaM%23joona/matches?playlist=competitive,None
7,PROD,https://tracker.gg/valorant/profile/riot/PROD%234545/matches?playlist=competitive,None
8,s0mcs,https://tracker.gg/valorant/profile/riot/NRG%20s0m%23NRG/matches?playlist=competitive,None
9,Nadeshot,https://tracker.gg/valorant/profile/riot/100T%20Nadeshot%23100/matches?playlist=competitive,None
10,shanks_ttv,https://tracker.gg/valorant/profile/riot/FaZe%20Shanks%23KEKW/overview,None
11,Punz,https://tracker.gg/valorant/profile/riot/Punz%23NA1/matches?playlist=competitive,None
12,stableronaldo,https://tracker.gg/valorant/profile/riot/shenanigaNS%23KENT/matches?playlist=competitive,None
13,imaqtpie,https://tracker.gg/valorant/profile/riot/Imaqtpie%23NA1/matches?playlist=competitive,None
14,QuarterJade,https://tracker.gg/valorant/profile/riot/QuarterJade%230000/matches?playlist=competitive,None
15,Subroza,https://tracker.gg/valorant/profile/riot/TSM%20Subroza%234678/matches?playlist=competitive,None
16,Shiphtur,https://tracker.gg/valorant/profile/riot/Shiphtur%23CHAP/matches?playlist=competitive,None
17,WARDELL,https://tracker.gg/valorant/profile/riot/OPAC%20WARDELL%23OPAC/matches?playlist=competitive,None
18,Masayoshi,https://tracker.gg/valorant/profile/riot/Masayoshi%23OTV/matches?playlist=competitive,None
19,Cryocells,https://tracker.gg/valorant/profile/riot/Cryocells%23Taffy/matches?playlist=competitive,None
20,EmilShe1n,https://tracker.gg/valorant/profile/riot/TwitchEmilShe1n%23EUGUY/matches?playlist=competitive,None
21,ploo,https://tracker.gg/valorant/profile/riot/ploo%23ful/matches?playlist=competitive,None
22,nats,https://tracker.gg/valorant/profile/riot/Liquid%20nAts%23TATAR/matches?playlist=competitive,None
23,ScreaM,https://tracker.gg/valorant/profile/riot/KC%20ScreaM%231TAP/matches?playlist=competitive,None
24,zombs,https://tracker.gg/valorant/profile/riot/SEN%20zombs%23naysh/matches?playlist=competitive,None
25,peterpark,https://tracker.gg/valorant/profile/riot/Parker%23Peter/matches?playlist=competitive,None
26,Keeoh,https://tracker.gg/valorant/profile/riot/Keeoh%23POD/matches?playlist=competitive,None
27,xChocoBars,https://tracker.gg/valorant/profile/riot/xchocobars%23000/matches?playlist=competitive,None
28,Grimm,https://tracker.gg/valorant/profile/riot/Grim%23main/matches?playlist=competitive,None
29,PRXf0rsakeN,https://tracker.gg/valorant/profile/riot/PRX%20f0rsakeN%23Huh/matches?playlist=competitive,None
30,a2guapo,https://tracker.gg/valorant/profile/riot/a2guapo%23315x1/matches?playlist=competitive,None
31,derrekow,https://tracker.gg/valorant/profile/riot/100T%20Derrek%23100/matches?playlist=competitive,None
32,Tiffae,https://tracker.gg/valorant/profile/riot/Tiffae%23uwu/matches?playlist=competitive,None
33,jingggxd,https://tracker.gg/valorant/profile/riot/PRX%20Jinggg%23Jing/matches?playlist=competitive,None
34,Xeppaa,https://tracker.gg/valorant/profile/riot/C9%20Xeppaa%23XITER/matches?playlist=competitive,None
35,codey,https://tracker.gg/valorant/profile/riot/Codey%23NA1/matches?playlist=competitive,None
36,ONSCREEN,https://tracker.gg/valorant/profile/riot/onscreen%231337/matches?playlist=competitive,None
37,joshseki,https://tracker.gg/valorant/profile/riot/joshseki%234534/matches?playlist=competitive,None
38,vinnie,https://tracker.gg/valorant/profile/riot/vinnie%23777/matches?playlist=competitive,None
39,Flexinja,https://tracker.gg/valorant/profile/riot/FLEXINJA%23omen/matches?playlist=competitive,None
40,nosyy,https://tracker.gg/valorant/profile/riot/V1%20nosyy%23BLIND/matches?playlist=competitive,None
41,OfficialBoaster,https://tracker.gg/valorant/profile/riot/FNATIC%20Boaster%231010/matches?playlist=competitive,None
42,AsunaWEEB,https://tracker.gg/valorant/profile/riot/100T%20Asuna%231111/matches?playlist=competitive,None
43,Pokimane,https://tracker.gg/valorant/profile/riot/pokimane%23NA1/matches?playlist=competitive,None
44,Mixwell,https://tracker.gg/valorant/profile/riot/Heretics%20m1xwell%23SPAIN/matches?playlist=competitive,None
45,Stewie2K,https://tracker.gg/valorant/profile/riot/Stewie2K%23NA2K/matches?playlist=competitive,None
46,yayster,https://tracker.gg/valorant/profile/riot/C9%20yay%23yey/matches?playlist=competitive,None
