,Username,Agent,Map,WinPct,Matches
22,100T Nadeshot,Chamber,Bind,0.25,12
82,100T Nadeshot,Chamber,Haven,0.6363636363636364,11
2,100T Nadeshot,Chamber,Ascent,0.3,10
102,100T Nadeshot,Chamber,Icebox,0.6666666666666666,9
53,100T Nadeshot,Reyna,Breeze,0.7142857142857143,7
122,100T Nadeshot,Chamber,Split,0.8333333333333334,6
62,100T Nadeshot,Chamber,Fracture,0.3333333333333333,6
142,100T Nadeshot,Chamber,Pearl,0.8,5
113,100T Nadeshot,Reyna,Icebox,0.5,4
42,100T Nadeshot,Chamber,Breeze,0.75,4
13,100T Nadeshot,Reyna,Ascent,0.5,2
90,100T Nadeshot,Omen,Haven,0.0,1
153,100T Nadeshot,Reyna,Pearl,0.0,1
81,100T Nadeshot,Kayo,Haven,1.0,1
5,100T Nadeshot,Brimstone,Ascent,0.0,1
107,100T Nadeshot,Fade,Icebox,0.0,0
108,100T Nadeshot,Killjoy,Icebox,0.0,0
109,100T Nadeshot,Neon,Icebox,0.0,0
110,100T Nadeshot,Omen,Icebox,0.0,0
111,100T Nadeshot,Phoenix,Icebox,0.0,0
87,100T Nadeshot,Fade,Haven,0.0,0
112,100T Nadeshot,Raze,Icebox,0.0,0
105,100T Nadeshot,Brimstone,Icebox,0.0,0
114,100T Nadeshot,Sage,Icebox,0.0,0
115,100T Nadeshot,Skye,Icebox,0.0,0
116,100T Nadeshot,Sova,Icebox,0.0,0
117,100T Nadeshot,Viper,Icebox,0.0,0
106,100T Nadeshot,Cypher,Icebox,0.0,0
104,100T Nadeshot,Breach,Icebox,0.0,0
88,100T Nadeshot,Killjoy,Haven,0.0,0
91,100T Nadeshot,Phoenix,Haven,0.0,0
103,100T Nadeshot,Astra,Icebox,0.0,0
89,100T Nadeshot,Neon,Haven,0.0,0
101,100T Nadeshot,Kayo,Icebox,0.0,0
100,100T Nadeshot,Jett,Icebox,0.0,0
119,100T Nadeshot,Harbor,Icebox,0.0,0
99,100T Nadeshot,Harbor,Haven,0.0,0
98,100T Nadeshot,Yoru,Haven,0.0,0
97,100T Nadeshot,Viper,Haven,0.0,0
96,100T Nadeshot,Sova,Haven,0.0,0
95,100T Nadeshot,Skye,Haven,0.0,0
94,100T Nadeshot,Sage,Haven,0.0,0
93,100T Nadeshot,Reyna,Haven,0.0,0
92,100T Nadeshot,Raze,Haven,0.0,0
118,100T Nadeshot,Yoru,Icebox,0.0,0
0,100T Nadeshot,Jett,Ascent,0.0,0
120,100T Nadeshot,Jett,Split,0.0,0
149,100T Nadeshot,Neon,Pearl,0.0,0
141,100T Nadeshot,Kayo,Pearl,0.0,0
143,100T Nadeshot,Astra,Pearl,0.0,0
144,100T Nadeshot,Breach,Pearl,0.0,0
145,100T Nadeshot,Brimstone,Pearl,0.0,0
146,100T Nadeshot,Cypher,Pearl,0.0,0
147,100T Nadeshot,Fade,Pearl,0.0,0
148,100T Nadeshot,Killjoy,Pearl,0.0,0
150,100T Nadeshot,Omen,Pearl,0.0,0
121,100T Nadeshot,Kayo,Split,0.0,0
151,100T Nadeshot,Phoenix,Pearl,0.0,0
152,100T Nadeshot,Raze,Pearl,0.0,0
154,100T Nadeshot,Sage,Pearl,0.0,0
155,100T Nadeshot,Skye,Pearl,0.0,0
156,100T Nadeshot,Sova,Pearl,0.0,0
157,100T Nadeshot,Viper,Pearl,0.0,0
158,100T Nadeshot,Yoru,Pearl,0.0,0
140,100T Nadeshot,Jett,Pearl,0.0,0
139,100T Nadeshot,Harbor,Split,0.0,0
138,100T Nadeshot,Yoru,Split,0.0,0
137,100T Nadeshot,Viper,Split,0.0,0
85,100T Nadeshot,Brimstone,Haven,0.0,0
123,100T Nadeshot,Astra,Split,0.0,0
124,100T Nadeshot,Breach,Split,0.0,0
125,100T Nadeshot,Brimstone,Split,0.0,0
126,100T Nadeshot,Cypher,Split,0.0,0
127,100T Nadeshot,Fade,Split,0.0,0
128,100T Nadeshot,Killjoy,Split,0.0,0
129,100T Nadeshot,Neon,Split,0.0,0
130,100T Nadeshot,Omen,Split,0.0,0
131,100T Nadeshot,Phoenix,Split,0.0,0
132,100T Nadeshot,Raze,Split,0.0,0
133,100T Nadeshot,Reyna,Split,0.0,0
134,100T Nadeshot,Sage,Split,0.0,0
135,100T Nadeshot,Skye,Split,0.0,0
136,100T Nadeshot,Sova,Split,0.0,0
86,100T Nadeshot,Cypher,Haven,0.0,0
80,100T Nadeshot,Jett,Haven,0.0,0
84,100T Nadeshot,Breach,Haven,0.0,0
23,100T Nadeshot,Astra,Bind,0.0,0
25,100T Nadeshot,Brimstone,Bind,0.0,0
26,100T Nadeshot,Cypher,Bind,0.0,0
27,100T Nadeshot,Fade,Bind,0.0,0
28,100T Nadeshot,Killjoy,Bind,0.0,0
29,100T Nadeshot,Neon,Bind,0.0,0
30,100T Nadeshot,Omen,Bind,0.0,0
31,100T Nadeshot,Phoenix,Bind,0.0,0
32,100T Nadeshot,Raze,Bind,0.0,0
33,100T Nadeshot,Reyna,Bind,0.0,0
34,100T Nadeshot,Sage,Bind,0.0,0
35,100T Nadeshot,Skye,Bind,0.0,0
36,100T Nadeshot,Sova,Bind,0.0,0
37,100T Nadeshot,Viper,Bind,0.0,0
38,100T Nadeshot,Yoru,Bind,0.0,0
39,100T Nadeshot,Harbor,Bind,0.0,0
24,100T Nadeshot,Breach,Bind,0.0,0
21,100T Nadeshot,Kayo,Bind,0.0,0
41,100T Nadeshot,Kayo,Breeze,0.0,0
20,100T Nadeshot,Jett,Bind,0.0,0
3,100T Nadeshot,Astra,Ascent,0.0,0
4,100T Nadeshot,Breach,Ascent,0.0,0
6,100T Nadeshot,Cypher,Ascent,0.0,0
7,100T Nadeshot,Fade,Ascent,0.0,0
8,100T Nadeshot,Killjoy,Ascent,0.0,0
9,100T Nadeshot,Neon,Ascent,0.0,0
10,100T Nadeshot,Omen,Ascent,0.0,0
11,100T Nadeshot,Phoenix,Ascent,0.0,0
12,100T Nadeshot,Raze,Ascent,0.0,0
14,100T Nadeshot,Sage,Ascent,0.0,0
15,100T Nadeshot,Skye,Ascent,0.0,0
16,100T Nadeshot,Sova,Ascent,0.0,0
17,100T Nadeshot,Viper,Ascent,0.0,0
18,100T Nadeshot,Harbor,Ascent,0.0,0
19,100T Nadeshot,Yoru,Ascent,0.0,0
40,100T Nadeshot,Jett,Breeze,0.0,0
43,100T Nadeshot,Astra,Breeze,0.0,0
83,100T Nadeshot,Astra,Haven,0.0,0
64,100T Nadeshot,Breach,Fracture,0.0,0
66,100T Nadeshot,Cypher,Fracture,0.0,0
67,100T Nadeshot,Fade,Fracture,0.0,0
68,100T Nadeshot,Killjoy,Fracture,0.0,0
69,100T Nadeshot,Neon,Fracture,0.0,0
70,100T Nadeshot,Omen,Fracture,0.0,0
71,100T Nadeshot,Phoenix,Fracture,0.0,0
72,100T Nadeshot,Raze,Fracture,0.0,0
73,100T Nadeshot,Reyna,Fracture,0.0,0
74,100T Nadeshot,Sage,Fracture,0.0,0
75,100T Nadeshot,Skye,Fracture,0.0,0
76,100T Nadeshot,Sova,Fracture,0.0,0
77,100T Nadeshot,Viper,Fracture,0.0,0
78,100T Nadeshot,Yoru,Fracture,0.0,0
79,100T Nadeshot,Harbor,Fracture,0.0,0
1,100T Nadeshot,Kayo,Ascent,0.0,0
65,100T Nadeshot,Brimstone,Fracture,0.0,0
63,100T Nadeshot,Astra,Fracture,0.0,0
44,100T Nadeshot,Breach,Breeze,0.0,0
61,100T Nadeshot,Kayo,Fracture,0.0,0
45,100T Nadeshot,Brimstone,Breeze,0.0,0
46,100T Nadeshot,Cypher,Breeze,0.0,0
47,100T Nadeshot,Fade,Breeze,0.0,0
48,100T Nadeshot,Killjoy,Breeze,0.0,0
49,100T Nadeshot,Neon,Breeze,0.0,0
50,100T Nadeshot,Omen,Breeze,0.0,0
51,100T Nadeshot,Phoenix,Breeze,0.0,0
52,100T Nadeshot,Raze,Breeze,0.0,0
54,100T Nadeshot,Sage,Breeze,0.0,0
55,100T Nadeshot,Skye,Breeze,0.0,0
56,100T Nadeshot,Sova,Breeze,0.0,0
57,100T Nadeshot,Viper,Breeze,0.0,0
58,100T Nadeshot,Yoru,Breeze,0.0,0
59,100T Nadeshot,Harbor,Breeze,0.0,0
60,100T Nadeshot,Jett,Fracture,0.0,0
159,100T Nadeshot,Harbor,Pearl,0.0,0
