,Usernames,Hashtags,Region
0,neveR,#god,Europe
1,LFT nataNk1wnl,#1wnl,Europe
2,KC TakaS,#KLWM,Europe
3,krea6oN,#1337,Europe
4,Liquid nAts,#TATAR,Europe
5,diseased,#999,Europe
6,7AM FakeAnanas,#TTV,Europe
7,Heretics AvovA,#uwu,Europe
8,FNATIC Leo,#BONK,Europe
9,FUT qRaxs,#8996,Europe
10,TBG lurzyyyyyyyy,#Boss,Europe
11,Heretics ZEEK,#0987,Europe
12,Liquid Jamppi,#1964,Europe
13,JrayN,#FERO,Europe
14,BBL aimDLL,#XxX,Europe
15,KOI Sheydos,#777,Europe
16,NASR sibeastw0w,#toxa,Europe
17,PROFEK,#023,Europe
18,SMB Izzy,#Lyda,Europe
19,GENKEI ReQz,#000,Europe
20,BDS kdvra,#7777,Europe
21,EP Minny,#0000,Europe
22,RBLS FizzyXD,#999,Europe
23,RN Chadi,#1337,Europe
24,Best,#Bartu,Europe
25,BBL Elite,#demon,Europe
26,ACE goldenb0yPL,#123,Europe
27,lux9,#999,Europe
28,Leare,#1930,Europe
29,Sp1ke,#SKK,Europe
30,Sayonara,#BEAST,Europe
31,Skyfall,#1246,Europe
32,FUT ATA KAPTAN,#3535,Europe
33,TBG VPNCNP,#fiumi,Europe
34,nekky,#wywh,Europe
35,KOI trexx,#HONK,Europe
36,1ndra,#1443,Europe
37,kaajak,#0604,Europe
38,SR Crewen,#1TAP,Europe
39,FOKUS KPZET,#111,Europe
40,FUT qw1,#Plu,Europe
41,HF batujnax セノス,#2005,Europe
42,KC amilwa,#amiL,Europe
43,ZER DarkLight,#MANI,Europe
44,Jxlius,#0000,Europe
45,S2G FIVESTAR,#YDM,Europe
46,DSYRE kamo,#sarah,Europe
47,ツ t e c o N e,#KSK,Europe
48,gosaydam,#gsydm,Europe
49,d3ffo,#1010,Europe
50,S1 dash,#333,Europe
51,PRL Ruxic,#AIM,Europe
52,FOKUS purp0,#777,Europe
53,CASE Filu,#CASE,Europe
54,ra1n,#ra1n,Europe
55,NRG ardiis,#NRG,Europe
56,aNguiSt,#yerma,Europe
57,TQ k1zpawn,#ALIEN,Europe
58,Sangal Hatashiwa,#TATAR,Europe
59,TLX barni,#1337,Europe
60,FUT MrFaliN,#7707,Europe
61,Giants ShadoW,#lolz,Europe
62,ZachKappa,#EUW,Europe
63,Maru,#1100,Europe
64,Akai,#999,Europe
65,vong,#101,Europe
66,dext,#100,Europe
67,BIG musashi,#000,Europe
68,RIZON Kajuks,#1337,Europe
69,chiwa,#nacho,Europe
70,BONK KICKSSSSSSS,#BONK,Europe
71,LewN,#3066,Europe
72,UCAM kamyk,#owo,Europe
73,M28 ThePrimerio,#CASH,Europe
74,BBL AsLanM4shadW,#AsLan,Europe
75,Nick,#kciNN,Europe
76,DaviH,#405,Europe
77,EP Cantzer,#ZYZZ,Europe
78,MDR APO,#MDRRR,Europe
79,Liquid Redgar,#3D2Y,Europe
80,EPZZ,#EPZZ,Europe
81,EP MaFiN,#SKRR,Europe
82,OzzyTK,#KING,Europe
83,szkicz,#2007,Europe
84,Dreamas,#1337,Europe
85,2phones,#1010,Europe
86,SR macRue,#12151,Europe
87,REG fred,#2202,Europe
88,walao eh,#lor,Europe
89,gracious,#jesus,Europe
90,Gloomy,#xxx,Europe
91,FF yetujey,#WRLD,Europe
92,NOM ShonP,#3750,Europe
93,ri4d,#magic,Europe
94,FuriouzMeow,#1310,Europe
95,NAVI suygetsu又,#63114,Europe
96,paTiTek,#1234,Europe
97,polvi,#työtö,Europe
98,FUT Muj,#BABA,Europe
99,carryS,#Solid,Europe
